slug	name	category	url	type	source
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/cloud/bitbucket/rest/api-group-webhooks/	Documentation	api
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/cloud/bitbucket/rest/api-group-pullrequests/	Documentation	api
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/cloud/bitbucket/rest/api-group-repositories/	Documentation	api
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/cloud/bitbucket/rest/api-group-snippets/	Documentation	api
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/cloud/bitbucket/rest/api-group-workspaces/	Documentation	api
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/cloud/bitbucket/rest/api-group-users/	Documentation	api
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/cloud/confluence/rest/v1/api-group-analytics/	Documentation	api
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/cloud/confluence/rest/v1/api-group-audit/	Documentation	api
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/cloud/confluence/connect-modules/	Documentation	api
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/cloud/confluence/rest/v2/intro/	Documentation	api
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/cloud/confluence/rest/v1/api-group-content-body/	Documentation	api
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/cloud/confluence/rest/v1/api-group-content-states/	Documentation	api
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/cloud/confluence/rest/v1/api-group-group/	Documentation	api
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/cloud/confluence/rest/v1/api-group-inline-tasks	Documentation	api
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/cloud/confluence/rest/v1/api-group-content-labels/	Documentation	api
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/cloud/confluence/rest/v1/api-group-long-running-task/	Documentation	api
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/cloud/confluence/rest/v1/api-group-relation/	Documentation	api
